FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s,RL_Eg_d,RL_Cm_d,RL_Ca_d,RL_Ch_d
80,9.36923152337857,3.03268231149388,9.15871153846154,3.12620447797196,15.8944038461538,3.47587548376634,2.97586538461539,2.97586538461539,-0.194839953402174,-0.175836099264128,-0.0166530637528639,-0.337844834629624
81,13.1840085470085,5.30041749713986,8.87911111111112,3.15869644628651,17.4732962962963,3.94662658505568,6.81844444444444,6.81844444444444,-0.118307479381689,-0.166990392530685,-0.0135986434772559,-0.197336925949345
82,8.31236029411765,1.83361395246227,7.42123529411769,1.92497335170066,15.1765882352941,3.57433964778931,7.71276470588234,7.71276470588234,-0.315409746672702,-0.322658234103117,-0.0218601194931525,-0.344192025357462
83,8.59268831168831,2.52160547945768,8.66295454545455,2.56110992067137,15.4290454545455,3.44869682470268,8.11059090909091,8.11059090909091,-0.278206045129603,-0.235405976895216,-0.0171501207398928,-0.289920648162659
84,61.4112222222222,4.68982448505423,36.3381,3.46606289354102,41.4501,3.79754675433382,34.8909,34.8909,-0.0371374725513865,-0.0494649363966201,-0.00485686298988726,-0.069149049697461
86,16.4610658536585,5.75138338038154,12.9559756097561,4.21204613370438,18.6129268292683,3.77976711784789,10.6647317073171,10.6647317073171,-0.055354535082486,-0.0751612650439944,-0.00947522811923899,-0.105488943797056
87,9.47260526315788,4.06303466142485,10.2051,3.49017984426954,15.9642,3.25026808165152,6.66939999999999,6.66939999999999,-0.0851371738558797,-0.100749441553691,-0.0124035707436576,-0.18571018686397
88,17.9552015810277,6.63381029232972,10.0306956521739,3.88609473482746,19.2031304347826,4.17562690945086,12.6041739130435,12.6041739130435,-0.0239014538590341,-0.0762855392354105,-0.00947528240678204,-0.103718429525565
89,36.6670523809523,3.82033837376078,21.8444761904762,3.0872727276057,28.6792857142857,3.23276015347028,20.1355714285714,20.1355714285714,-0.0372052488021438,-0.0588063915258155,-0.00649453482609603,-0.0860820230071529
90,5.8918484848485,2.46899966708185,4.89466666666667,1.80716664858009,14.2080833333333,3.01616477753504,3.66708333333334,3.66708333333334,-0.320982113996276,-0.349250490271298,-0.0140521723071702,-0.391001688394364
91,7.62748448043186,3.62661607899822,6.03282051282052,2.94926120675383,14.6387179487179,2.85308199930842,7.19989743589744,7.19989743589744,-0.128130696027312,-0.16002927474026,-0.0101342857910534,-0.129735693745561
92,7.33954285714286,2.76341552156033,6.52409523809523,2.57635469380095,14.4244761904762,2.85485735844502,6.90419047619047,6.90419047619047,-0.222964654627732,-0.242374306007719,-0.0111126345812736,-0.221101829220346
93,4.94458095238093,3.1905391560051,4.3594,2.8108027771888,14.2642,2.89778381985651,5.41113333333332,5.41113333333332,-0.169829754502871,-0.172506738544472,-0.011448847491926,-0.179327219608067
94,5.39011255411256,3.10860415723534,3.09050000000001,1.96675314937976,14.5062272727273,2.88927004908516,4.46604545454545,4.46604545454545,-0.163171131357394,-0.219409428036986,-0.0119628112576832,-0.227321699622309
95,4.57211904761905,4.42538580281872,2.15204761904763,2.06562372763062,17.9841428571428,6.49715410384353,2.18076190476192,2.18076190476192,-0.107759830345273,-0.187249348070111,-0.00447852469623115,-0.159228184824458
96,6.13568253968255,3.57176768232206,1.91758333333334,1.22683679298997,14.5307222222222,2.91979083939753,4.73986111111111,4.73986111111111,-0.0951625649310948,-0.225218855218854,-0.01217814957934,-0.210717424479922
97,3.5239,2.5544518030321,2.9966,1.74721527042354,14.1114,3.02973420110235,2.15019999999998,2.15019999999998,-0.310161893389192,-0.331026476760278,-0.0139748731780261,-0.395671725688586
98,4.11566666666667,2.25674118357834,4.65325,2.58168879893658,14.137,3.01482921492995,4.78925,4.78925,-0.347737658170988,-0.306545955813867,-0.0134682484298674,-0.298663737872964
99,6.24926797385622,2.51281950092462,6.01433333333332,2.33287478479915,14.2037222222222,2.92471355070453,6.29088888888888,6.29088888888888,-0.280666566366892,-0.288815020160328,-0.0121974778237099,-0.27175674634177
100,4.66581818181818,2.26796697283085,3.73602222222223,1.66493802156497,14.1680666666667,2.97185037072596,3.8150888888889,3.8150888888889,-0.277147348851818,-0.306694653850573,-0.0134864354207748,-0.319150201873422
101,8.92271428571427,2.69096639517884,7.21520000000001,1.91704980590637,14.7778571428571,2.9098566870911,7.26065714285715,7.26065714285715,-0.231253030879762,-0.2959877783476,-0.0122828492708277,-0.294555437915716
102,8.61175483870969,3.31312096323838,7.28583870967745,2.50753789787204,14.5077741935484,2.81788784668131,6.7612258064516,6.7612258064516,-0.246613541956201,-0.292116026652301,-0.0125326875201628,-0.309208119527856
103,6.54384330484331,3.13941058836158,5.06981481481482,2.40301633051905,14.2751851851852,2.90898471912008,5.61533333333334,5.61533333333334,-0.187612849284203,-0.2265947228721,-0.0125939551058499,-0.226652520545644
104,7.48425348890414,1.850912188553,6.94689361702127,1.56432017533669,14.2062872340426,2.95018074255509,6.90080851063829,6.90080851063829,-0.35811155355337,-0.377205029560688,-0.0193984761420552,-0.380532511388106
