FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Ca_s,RL_Ch_m,RL_Ch_s,RL_Cm_n,RL_Ca_n,RL_Ch_n,Node_den
45,5.65054945054946,1.95003657345381,5.18621428571429,1.9761149487048,14.3902857142857,2.62993787498633,5.21071428571428,5.21071428571428,72.6070000000001,201.464,72.9499999999999,105.170682291174
46,7.93206666666667,3.8941783784286,6.54616666666667,2.9821059738669,14.8311666666667,2.63663873825337,6.75466666666667,6.75466666666667,39.277,88.987,40.528,67.512194674094
47,13.102,2.80704034090633,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042,552.084,552.084,552.084,19.5478884720008
48,7.709,5.41605508212877,11.115,6.37875093286009,16.101,3.91255761709742,10.9875,10.9875,22.23,32.202,21.975,23.1301297136807
49,3.56695238095236,2.92943217611566,0.878857142857155,0.917095104543541,14.5785714285714,2.66688690332809,5.46571428571429,5.46571428571429,6.15200000000008,102.05,38.26,137.674876901948
50,11.5107333333333,2.94541791635934,12.7069,5.1131523267664,16.7525,3.75578749261585,12.7737,12.7737,127.069,167.525,127.737,118.043709956827
51,4.48216483516484,3.0555924412797,2.18400000000001,1.44224866929432,14.4815,2.58999714729149,4.04628571428571,4.04628571428571,30.5760000000001,202.741,56.648,131.459412058935
52,11.6274545454546,2.42195972396636,10.37275,3.14387694305398,15.3276666666667,2.90444119712492,10.3639166666667,10.3639166666667,124.473,183.932,124.367,41.2804727134194
53,8.23266666666667,3.40518646338289,7.91325,2.96417328453664,14.775,2.73385697760033,7.693,7.693,31.653,59.1,30.772,35.5992554478449
54,188.296,14.2058114152925,187.336,14.3488324609702,189.057666666667,14.2132693253102,187.323333333334,187.323333333334,562.008000000001,567.173,561.970000000001,14.3831097920184
55,NaN,NaN,12.431,4.36305801878401,15.572,3.74016106669283,12.425,12.425,12.431,15.572,12.425,21.2039628614009
56,3.88371428571429,1.37865312517021,3.9435,1.75634171966513,14.37775,2.6271039878282,3.8495,3.8495,31.548,115.022,30.796,77.3263435253754
57,9.86533333333334,0.848873061395658,11.8833333333333,4.35178050332329,15.4516666666667,3.64668281013581,11.8746666666666,11.8746666666666,35.6499999999999,46.355,35.6239999999999,36.5443001728298
58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
60,11.3568666666667,3.9395309192674,9.92616666666666,3.71530496982368,15.4403333333333,2.70434383662614,9.93566666666666,9.93566666666666,59.5569999999999,92.642,59.614,40.6961418641687
61,12.62,2.00340051253202,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042,552.084,552.084,552.084,29.832231573415
62,8.044,3.16671629485373,11.116,3.87499155606303,15.1315,2.79504383150246,11.1345,11.1345,22.232,30.263,22.269,18.2235979756238
63,143.3435,10.7553936142455,74.44325,6.16760742256013,80.64425,5.68456847581735,75.5245,75.5245,297.773,322.577,302.098,31.8267668497303
