FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s,RL_Eg_d,RL_Cm_d,RL_Ca_d,RL_Ch_d
562,176.894304843305,13.3921542625585,117.27,8.89556527499357,121.796851851852,8.89318595815094,115.871444444444,115.871444444444,-5.4597952915024e-06,7.26407469715709e-06,-1.18593156749184e-05,1.21464309794416e-05
563,107.284470779221,9.13083729361221,65.9426607142857,6.02915928041852,68.7061964285714,6.26810409819507,65.7646785714285,65.7646785714285,-0.00021076784031233,-0.000435524272154893,-1.45545161492679e-05,-0.000420153241937718
564,127.607783475783,9.39609657328586,79.7160740740741,5.69944369906227,83.3231481481481,5.99865091995682,37.5148518518519,37.5148518518519,-6.36927246857703e-05,-0.000238289112045296,-1.15568345120266e-05,-0.000482538805394795
565,22.4560786308973,14.5404480306182,17.3285106382978,8.57334332929208,21.648170212766,8.50921869360598,15.541,15.541,-0.000438489034891525,-0.00127287308793201,-5.40530447098312e-05,-0.000971090233429594
566,26.1141047619048,23.4846059120728,21.8514761904762,16.973430201211,26.2200952380953,16.6396818798602,21.9243333333333,21.9243333333333,-0.000493742015877781,-0.000873101928661822,-6.35604378045087e-05,-0.00079864750780658
567,42.9465308364545,4.23339558700498,26.9307888888889,2.51046309734106,31.5010666666667,3.53410611785003,26.9174777777778,26.9174777777778,-0.000493439986349141,-0.000902735039846773,-5.64322939444513e-05,-0.000857854711581623
568,47.8293426248548,3.39612417159165,30.0282142857143,2.06939814882997,34.3570714285715,3.32094907126156,27.9367857142857,27.9367857142857,-0.000459927039344506,-0.000826316640100365,-6.02875508285753e-05,-0.000564732097226613
569,12.2538571428572,3.14447245386815,11.277,2.87822517885244,16.20275,3.02215686548855,11.348875,11.348875,-0.000931781916442249,-0.00192499170262204,-2.31436837028806e-05,-0.00201156374348723
570,9.90763325143326,1.72277844224395,8.58234234234235,1.66800161410234,15.4239099099099,3.16602799425545,8.13333333333334,8.13333333333334,-0.00205707624758772,-0.00122142366626224,-0.000126148329410704,-0.00181989858985461
571,6.91537666666667,3.10232302918486,6.22568000000002,3.42075905759674,15.61936,3.12695862790998,7.00928,7.00928,0.00239024074416015,0.00175065971551811,-0.000110107623800812,4.56558462311555e-05
572,9.23929946524065,2.43911900647687,8.7029411764706,2.32711790880878,15.6773235294118,3.11093921287636,8.91805882352943,8.91805882352943,-0.00129057244344833,-0.00231298847551734,-7.50371903074911e-05,-0.00242473293392437
573,12.1072868712702,0.501377175816742,11.7388405797102,0.38398675565862,13.6145072463768,2.30068192706337,11.487652173913,11.487652173913,-0.00257442785332033,-0.00285731520704754,-0.000933765403672899,-0.00325688661758998
574,43.507011111111,3.95947072237875,28.3533611111111,2.14978909813706,29.7540277777777,2.80570930451833,28.3465833333333,28.3465833333333,-0.000136029626077721,-0.000539523261187302,-0.000205345517166966,-0.000566081161151365
575,12.7180236842105,0.821087727716299,12.37078125,0.492626349825697,13.9387291666667,2.12018433273663,12.3635729166667,12.3635729166667,-0.000218784396242391,-0.000742126267483466,-0.000267468374478828,-0.000753495122908136
576,15.9995151515152,2.40949856149468,13.3494166666667,2.24581716605659,15.8414166666667,2.20015885103852,13.5915833333333,13.5915833333333,-0.000151496788267951,-0.000243397074242181,-6.83814633633435e-05,-0.00059437731316984
